config,organ,psnr,ssim,n_gaussians
Baseline_R2GS,chest,26.3812,0.8393,57010
Baseline_R2GS,head,26.7799,0.9242,49941
Baseline_R2GS,abdomen,29.1994,0.936,50487
Baseline_R2GS,foot,28.5968,0.8979,50019
Baseline_R2GS,pancreas,28.6867,0.9204,53696
B_SPS_init,chest,26.934,0.8422,55568
B_SPS_init,head,26.582,0.916,49606
B_SPS_init,abdomen,29.4769,0.9352,50464
B_SPS_init,foot,28.5697,0.9008,49938
B_SPS_init,pancreas,29.1172,0.9218,52843
B_KPlanes,chest,26.4846,0.8396,
B_KPlanes,head,26.9209,0.9245,
B_KPlanes,abdomen,29.3289,0.937,
B_KPlanes,foot,28.7218,0.8985,
B_KPlanes,pancreas,28.8388,0.9211,
B_GAR_prox,chest,26.1096,0.837,113829
B_GAR_prox,head,26.7288,0.9243,105504
B_GAR_prox,abdomen,29.2309,0.9376,105269
B_GAR_prox,foot,28.5987,0.8961,103944
B_GAR_prox,pancreas,28.8341,0.9235,106413
Full_XRAGS,chest,26.9478,0.8409,
Full_XRAGS,head,26.7267,0.9181,
Full_XRAGS,abdomen,29.4578,0.9368,
Full_XRAGS,foot,28.517,0.9003,
Full_XRAGS,pancreas,29.3247,0.9245,
