experiment_type,method,config,organ,views,psnr,ssim,n_gaussians
main_comparison,corgs,corgs,abdomen,2,18.5048,0.8645,
main_comparison,corgs,corgs,abdomen,3,22.4487,0.9089,
main_comparison,corgs,corgs,abdomen,4,23.0292,0.9269,
main_comparison,corgs,corgs,chest,2,14.9579,0.5754,
main_comparison,corgs,corgs,chest,3,18.5481,0.7077,
main_comparison,corgs,corgs,chest,4,20.2945,0.7636,
main_comparison,corgs,corgs,foot,2,20.1715,0.6913,
main_comparison,corgs,corgs,foot,3,25.5323,0.8511,
main_comparison,corgs,corgs,foot,4,26.8267,0.8767,
main_comparison,corgs,corgs,head,2,16.2353,0.7993,
main_comparison,corgs,corgs,head,3,20.3649,0.8644,
main_comparison,corgs,corgs,head,4,23.3981,0.9088,
main_comparison,corgs,corgs,pancreas,2,16.1481,0.8088,
main_comparison,corgs,corgs,pancreas,3,23.2489,0.8974,
main_comparison,corgs,corgs,pancreas,4,23.958,0.9084,
main_comparison,dngaussian,dngaussian,abdomen,2,14.3015,0.7663,
main_comparison,dngaussian,dngaussian,abdomen,3,16.0184,0.8258,
main_comparison,dngaussian,dngaussian,abdomen,4,15.7637,0.8486,
main_comparison,dngaussian,dngaussian,chest,2,18.8383,0.6675,
main_comparison,dngaussian,dngaussian,chest,3,20.5466,0.75,
main_comparison,dngaussian,dngaussian,chest,4,20.9943,0.7791,
main_comparison,dngaussian,dngaussian,foot,2,19.3257,0.7801,
main_comparison,dngaussian,dngaussian,foot,3,23.5098,0.8569,
main_comparison,dngaussian,dngaussian,foot,4,24.7237,0.8666,
main_comparison,dngaussian,dngaussian,head,2,15.7208,0.7296,
main_comparison,dngaussian,dngaussian,head,3,18.0411,0.8097,
main_comparison,dngaussian,dngaussian,head,4,16.2416,0.7924,
main_comparison,dngaussian,dngaussian,pancreas,2,19.0617,0.8082,
main_comparison,dngaussian,dngaussian,pancreas,3,22.4283,0.8848,
main_comparison,dngaussian,dngaussian,pancreas,4,25.4747,0.8982,
main_comparison,fsgs,fsgs,abdomen,2,18.7516,0.858,
main_comparison,fsgs,fsgs,abdomen,3,23.3421,0.9068,
main_comparison,fsgs,fsgs,abdomen,4,23.6261,0.9276,
main_comparison,fsgs,fsgs,chest,2,17.8612,0.6451,
main_comparison,fsgs,fsgs,chest,3,19.9929,0.7429,
main_comparison,fsgs,fsgs,chest,4,21.0266,0.7729,
main_comparison,fsgs,fsgs,foot,2,22.1747,0.6843,
main_comparison,fsgs,fsgs,foot,3,25.3716,0.85,
main_comparison,fsgs,fsgs,foot,4,27.0769,0.876,
main_comparison,fsgs,fsgs,head,2,19.4343,0.8334,
main_comparison,fsgs,fsgs,head,3,21.5278,0.8732,
main_comparison,fsgs,fsgs,head,4,24.9099,0.9105,
main_comparison,fsgs,fsgs,pancreas,2,23.0328,0.8564,
main_comparison,fsgs,fsgs,pancreas,3,25.2745,0.9031,
main_comparison,fsgs,fsgs,pancreas,4,26.2211,0.9148,
main_comparison,r2_gaussian,r2_gaussian,abdomen,2,24.8491,0.9028,
main_comparison,r2_gaussian,r2_gaussian,abdomen,3,29.2597,0.9363,
main_comparison,r2_gaussian,r2_gaussian,abdomen,4,30.5576,0.9617,
main_comparison,r2_gaussian,r2_gaussian,chest,2,21.049,0.711,
main_comparison,r2_gaussian,r2_gaussian,chest,3,26.2163,0.8367,
main_comparison,r2_gaussian,r2_gaussian,chest,4,25.4703,0.8546,
main_comparison,r2_gaussian,r2_gaussian,foot,2,19.3859,0.6722,
main_comparison,r2_gaussian,r2_gaussian,foot,3,28.4751,0.8977,
main_comparison,r2_gaussian,r2_gaussian,foot,4,30.0362,0.913,
main_comparison,r2_gaussian,r2_gaussian,head,2,23.5401,0.8718,
main_comparison,r2_gaussian,r2_gaussian,head,3,26.5952,0.9223,
main_comparison,r2_gaussian,r2_gaussian,head,4,28.6644,0.955,
main_comparison,r2_gaussian,r2_gaussian,pancreas,2,17.8274,0.8122,
main_comparison,r2_gaussian,r2_gaussian,pancreas,3,28.6079,0.9199,
main_comparison,r2_gaussian,r2_gaussian,pancreas,4,30.9011,0.936,
main_comparison,xrags,xrags,abdomen,2,25.2557,0.9068,
main_comparison,xrags,xrags,abdomen,3,29.546,0.9374,
main_comparison,xrags,xrags,abdomen,4,30.9046,0.9627,
main_comparison,xrags,xrags,chest,2,21.216,0.7065,
main_comparison,xrags,xrags,chest,3,26.6337,0.839,
main_comparison,xrags,xrags,chest,4,26.0341,0.8586,
main_comparison,xrags,xrags,foot,2,19.9211,0.6798,
main_comparison,xrags,xrags,foot,3,28.6395,0.8993,
main_comparison,xrags,xrags,foot,4,29.9532,0.9149,
main_comparison,xrags,xrags,head,2,24.258,0.8694,
main_comparison,xrags,xrags,head,3,26.6472,0.9176,
main_comparison,xrags,xrags,head,4,29.6833,0.9518,
main_comparison,xrags,xrags,pancreas,2,19.0944,0.8241,
main_comparison,xrags,xrags,pancreas,3,29.3678,0.9247,
main_comparison,xrags,xrags,pancreas,4,30.9536,0.9361,
main_comparison,xgaussian,xgaussian,abdomen,2,18.9287,0.8595,
main_comparison,xgaussian,xgaussian,abdomen,3,23.5399,0.9077,
main_comparison,xgaussian,xgaussian,abdomen,4,23.8482,0.9257,
main_comparison,xgaussian,xgaussian,chest,2,17.7894,0.6488,
main_comparison,xgaussian,xgaussian,chest,3,20.2879,0.7427,
main_comparison,xgaussian,xgaussian,chest,4,20.9004,0.7689,
main_comparison,xgaussian,xgaussian,foot,2,22.3446,0.6882,
main_comparison,xgaussian,xgaussian,foot,3,25.4755,0.8481,
main_comparison,xgaussian,xgaussian,foot,4,26.9227,0.874,
main_comparison,xgaussian,xgaussian,head,2,19.6189,0.8347,
main_comparison,xgaussian,xgaussian,head,3,21.5161,0.8697,
main_comparison,xgaussian,xgaussian,head,4,24.4586,0.9079,
main_comparison,xgaussian,xgaussian,pancreas,2,23.2098,0.8502,
main_comparison,xgaussian,xgaussian,pancreas,3,25.1195,0.9006,
main_comparison,xgaussian,xgaussian,pancreas,4,25.5541,0.9124,
main_comparison,xfield,xfield,chest,2,19.5655,0.6843,
main_comparison,xfield,xfield,chest,3,23.9411,0.809,
main_comparison,xfield,xfield,chest,4,24.4517,0.8255,
main_comparison,xfield,xfield,head,2,22.4942,0.8413,
main_comparison,xfield,xfield,head,3,25.0575,0.8878,
main_comparison,xfield,xfield,head,4,26.7789,0.9089,
main_comparison,xfield,xfield,abdomen,2,22.2029,0.719,
main_comparison,xfield,xfield,abdomen,3,24.8687,0.8632,
main_comparison,xfield,xfield,abdomen,4,27.1854,0.9103,
main_comparison,xfield,xfield,pancreas,2,18.1187,0.6871,
main_comparison,xfield,xfield,pancreas,3,24.936,0.8474,
main_comparison,xfield,xfield,pancreas,4,26.3598,0.9004,
main_comparison,xfield,xfield,foot,2,20.4541,0.6522,
main_comparison,xfield,xfield,foot,3,26.0315,0.8405,
main_comparison,xfield,xfield,foot,4,27.2468,0.8556,
component_ablation,r2_gaussian,Baseline (R²-Gaussian),chest,3,26.3812,0.8393,57010
component_ablation,r2_gaussian,Baseline (R²-Gaussian),head,3,26.7799,0.9242,49941
component_ablation,r2_gaussian,Baseline (R²-Gaussian),abdomen,3,29.1994,0.936,50487
component_ablation,r2_gaussian,Baseline (R²-Gaussian),foot,3,28.5968,0.8979,50019
component_ablation,r2_gaussian,Baseline (R²-Gaussian),pancreas,3,28.6867,0.9204,53696
component_ablation,xrags+SPS,B + SPS,chest,3,26.934,0.8422,55568
component_ablation,xrags+SPS,B + SPS,head,3,26.582,0.916,49606
component_ablation,xrags+SPS,B + SPS,abdomen,3,29.4769,0.9352,50464
component_ablation,xrags+SPS,B + SPS,foot,3,28.5697,0.9008,49938
component_ablation,xrags+SPS,B + SPS,pancreas,3,29.1172,0.9218,52843
component_ablation,xrags+ADM,B + ADM,chest,3,26.4846,0.8396,
component_ablation,xrags+ADM,B + ADM,head,3,26.9209,0.9245,
component_ablation,xrags+ADM,B + ADM,abdomen,3,29.3289,0.937,
component_ablation,xrags+ADM,B + ADM,foot,3,28.7218,0.8985,
component_ablation,xrags+ADM,B + ADM,pancreas,3,28.8388,0.9211,
component_ablation,xrags+GAP,B + GAP,chest,3,26.1096,0.837,113829
component_ablation,xrags+GAP,B + GAP,head,3,26.7288,0.9243,105504
component_ablation,xrags+GAP,B + GAP,abdomen,3,29.2309,0.9376,105269
component_ablation,xrags+GAP,B + GAP,foot,3,28.5987,0.8961,103944
component_ablation,xrags+GAP,B + GAP,pancreas,3,28.8341,0.9235,106413
component_ablation,xrags,Full XRA-GS,chest,3,26.9478,0.8409,
component_ablation,xrags,Full XRA-GS,head,3,26.7267,0.9181,
component_ablation,xrags,Full XRA-GS,abdomen,3,29.4578,0.9368,
component_ablation,xrags,Full XRA-GS,foot,3,28.517,0.9003,
component_ablation,xrags,Full XRA-GS,pancreas,3,29.3247,0.9245,
sps_alpha_sweep,xrags+SPS,SPS α=0.0,chest,3,26.8378,0.843,
sps_alpha_sweep,xrags+SPS,SPS α=0.1,chest,3,26.9256,0.8444,
sps_alpha_sweep,xrags+SPS,SPS α=0.2,chest,3,26.934,0.8422,
sps_alpha_sweep,xrags+SPS,SPS α=0.5,chest,3,26.6699,0.847,
sps_alpha_sweep,xrags+SPS,SPS α=1.0,chest,3,27.0674,0.848,
sps_alpha_sweep,xrags+SPS,SPS α=0.0,head,3,26.5703,0.9145,
sps_alpha_sweep,xrags+SPS,SPS α=0.1,head,3,26.7325,0.9148,
sps_alpha_sweep,xrags+SPS,SPS α=0.2,head,3,26.582,0.916,
sps_alpha_sweep,xrags+SPS,SPS α=0.5,head,3,26.6554,0.9162,
sps_alpha_sweep,xrags+SPS,SPS α=1.0,head,3,26.6648,0.9167,
