method,organ,views,psnr,ssim
corgs,abdomen,2,18.5048,0.8645
corgs,abdomen,3,22.4487,0.9089
corgs,abdomen,4,23.0292,0.9269
corgs,chest,2,14.9579,0.5754
corgs,chest,3,18.5481,0.7077
corgs,chest,4,20.2945,0.7636
corgs,foot,2,20.1715,0.6913
corgs,foot,3,25.5323,0.8511
corgs,foot,4,26.8267,0.8767
corgs,head,2,16.2353,0.7993
corgs,head,3,20.3649,0.8644
corgs,head,4,23.3981,0.9088
corgs,pancreas,2,16.1481,0.8088
corgs,pancreas,3,23.2489,0.8974
corgs,pancreas,4,23.9580,0.9084
dngaussian,abdomen,2,14.3015,0.7663
dngaussian,abdomen,3,16.0184,0.8258
dngaussian,abdomen,4,15.7637,0.8486
dngaussian,chest,2,18.8383,0.6675
dngaussian,chest,3,20.5466,0.7500
dngaussian,chest,4,20.9943,0.7791
dngaussian,foot,2,19.3257,0.7801
dngaussian,foot,3,23.5098,0.8569
dngaussian,foot,4,24.7237,0.8666
dngaussian,head,2,15.7208,0.7296
dngaussian,head,3,18.0411,0.8097
dngaussian,head,4,16.2416,0.7924
dngaussian,pancreas,2,19.0617,0.8082
dngaussian,pancreas,3,22.4283,0.8848
dngaussian,pancreas,4,25.4747,0.8982
fsgs,abdomen,2,18.7516,0.8580
fsgs,abdomen,3,23.3421,0.9068
fsgs,abdomen,4,23.6261,0.9276
fsgs,chest,2,17.8612,0.6451
fsgs,chest,3,19.9929,0.7429
fsgs,chest,4,21.0266,0.7729
fsgs,foot,2,22.1747,0.6843
fsgs,foot,3,25.3716,0.8500
fsgs,foot,4,27.0769,0.8760
fsgs,head,2,19.4343,0.8334
fsgs,head,3,21.5278,0.8732
fsgs,head,4,24.9099,0.9105
fsgs,pancreas,2,23.0328,0.8564
fsgs,pancreas,3,25.2745,0.9031
fsgs,pancreas,4,26.2211,0.9148
r2_gaussian,abdomen,2,24.8491,0.9028
r2_gaussian,abdomen,3,29.2597,0.9363
r2_gaussian,abdomen,4,30.5576,0.9617
r2_gaussian,chest,2,21.0490,0.7110
r2_gaussian,chest,3,26.2163,0.8367
r2_gaussian,chest,4,25.4703,0.8546
r2_gaussian,foot,2,19.3859,0.6722
r2_gaussian,foot,3,28.4751,0.8977
r2_gaussian,foot,4,30.0362,0.9130
r2_gaussian,head,2,23.5401,0.8718
r2_gaussian,head,3,26.5952,0.9223
r2_gaussian,head,4,28.6644,0.9550
r2_gaussian,pancreas,2,17.8274,0.8122
r2_gaussian,pancreas,3,28.6079,0.9199
r2_gaussian,pancreas,4,30.9011,0.9360
spags,abdomen,2,25.2557,0.9068
spags,abdomen,3,29.5460,0.9374
spags,abdomen,4,30.9046,0.9627
spags,chest,2,20.9709,0.7111
spags,chest,3,26.6337,0.8390
spags,chest,4,25.6191,0.8523
spags,foot,2,19.4367,0.6785
spags,foot,3,28.3393,0.8993
spags,foot,4,29.8432,0.9141
spags,head,2,23.9657,0.8700
spags,head,3,26.5475,0.9179
spags,head,4,28.7625,0.9536
spags,pancreas,2,17.9745,0.8147
spags,pancreas,3,29.3678,0.9247
spags,pancreas,4,30.8400,0.9361
xgaussian,abdomen,2,18.9287,0.8595
xgaussian,abdomen,3,23.5399,0.9077
xgaussian,abdomen,4,23.8482,0.9257
xgaussian,chest,2,17.7894,0.6488
xgaussian,chest,3,20.2879,0.7427
xgaussian,chest,4,20.9004,0.7689
xgaussian,foot,2,22.3446,0.6882
xgaussian,foot,3,25.4755,0.8481
xgaussian,foot,4,26.9227,0.8740
xgaussian,head,2,19.6189,0.8347
xgaussian,head,3,21.5161,0.8697
xgaussian,head,4,24.4586,0.9079
xgaussian,pancreas,2,23.2098,0.8502
xgaussian,pancreas,3,25.1195,0.9006
xgaussian,pancreas,4,25.5541,0.9124
