=== 90 实验最终结果 ===
实验目录名                                     PSNR     SSIM
================================================================================
2026_04_30_abdomen_3views_corgs                    | PSNR=22.22  | SSIM=0.9100
2026_04_30_abdomen_3views_dngaussian               | PSNR=16.24  | SSIM=0.8200
2026_04_30_abdomen_3views_fsgs                     | PSNR=23.66  | SSIM=0.9100
2026_04_30_abdomen_3views_r2_gaussian              | PSNR=29.23  | SSIM=0.9400
2026_04_30_abdomen_3views_spags                    | PSNR=29.63  | SSIM=0.9400
2026_04_30_abdomen_3views_xgaussian                | PSNR=23.59  | SSIM=0.9100
2026_04_30_abdomen_6views_corgs                    | PSNR=27.86  | SSIM=0.9500
2026_04_30_abdomen_6views_dngaussian               | PSNR=20.65  | SSIM=0.9100
2026_04_30_abdomen_6views_fsgs                     | PSNR=27.73  | SSIM=0.9500
2026_04_30_abdomen_6views_r2_gaussian              | PSNR=34.07  | SSIM=0.9700
2026_04_30_abdomen_6views_spags                    | PSNR=31.67  | SSIM=0.9700
2026_04_30_abdomen_6views_xgaussian                | PSNR=27.75  | SSIM=0.9500
2026_04_30_abdomen_9views_corgs                    | PSNR=31.76  | SSIM=0.9600
2026_04_30_abdomen_9views_dngaussian               | PSNR=22.48  | SSIM=0.9300
2026_04_30_abdomen_9views_fsgs                     | PSNR=31.62  | SSIM=0.9600
2026_04_30_abdomen_9views_r2_gaussian              | PSNR=36.93  | SSIM=0.9800
2026_04_30_abdomen_9views_spags                    | PSNR=36.70  | SSIM=0.9800
2026_04_30_abdomen_9views_xgaussian                | PSNR=29.95  | SSIM=0.9600
2026_04_30_chest_3views_corgs                      | PSNR=19.05  | SSIM=0.7300
2026_04_30_chest_3views_dngaussian                 | PSNR=20.58  | SSIM=0.7500
2026_04_30_chest_3views_fsgs                       | PSNR=20.23  | SSIM=0.7400
2026_04_30_chest_3views_r2_gaussian                | PSNR=26.12  | SSIM=0.8400
2026_04_30_chest_3views_spags                      | PSNR=27.09  | SSIM=0.8500
2026_04_30_chest_3views_xgaussian                  | PSNR=20.65  | SSIM=0.7400
2026_04_30_chest_6views_corgs                      | PSNR=28.74  | SSIM=0.8800
2026_04_30_chest_6views_dngaussian                 | PSNR=27.22  | SSIM=0.8600
